"","roleId","fromElementId","toElementId","arcrole","order","closed","usable","contextElement","preferredLabel","fromHref","toHref"
"1","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_LiabilitiesTemporarySyirkahFundsAndEquity","idx-cor_Liabilities","http://www.xbrl.org/2003/arcrole/summation-item","1.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_LiabilitiesTemporarySyirkahFundsAndEquity","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities"
"2","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_UndistributedProfitSharing","http://www.xbrl.org/2003/arcrole/summation-item","2.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_UndistributedProfitSharing"
"3","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_ShariaDeposits","http://www.xbrl.org/2003/arcrole/summation-item","3.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_ShariaDeposits"
"4","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_CurrentAccountsThirdParties","http://www.xbrl.org/2003/arcrole/summation-item","4.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_CurrentAccountsThirdParties"
"5","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_CurrentAccountsRelatedParties","http://www.xbrl.org/2003/arcrole/summation-item","5.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_CurrentAccountsRelatedParties"
"6","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_WadiahDemandDepositsThirdParties","http://www.xbrl.org/2003/arcrole/summation-item","6.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WadiahDemandDepositsThirdParties"
"7","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_WadiahDemandDepositsRelatedParties","http://www.xbrl.org/2003/arcrole/summation-item","7.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WadiahDemandDepositsRelatedParties"
"8","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_SavingsThirdParties","http://www.xbrl.org/2003/arcrole/summation-item","8.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_SavingsThirdParties"
"9","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_SavingsRelatedParties","http://www.xbrl.org/2003/arcrole/summation-item","9.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_SavingsRelatedParties"
"10","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_WadiahSavingsThirdParties","http://www.xbrl.org/2003/arcrole/summation-item","10.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WadiahSavingsThirdParties"
"11","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_WadiahSavingsRelatedParties","http://www.xbrl.org/2003/arcrole/summation-item","11.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WadiahSavingsRelatedParties"
"12","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_TimeDepositsThirdParties","http://www.xbrl.org/2003/arcrole/summation-item","12.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_TimeDepositsThirdParties"
"13","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_TimeDepositsRelatedParties","http://www.xbrl.org/2003/arcrole/summation-item","13.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_TimeDepositsRelatedParties"
"14","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_WakalahDepositsThirdParties","http://www.xbrl.org/2003/arcrole/summation-item","14.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WakalahDepositsThirdParties"
"15","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_WakalahDepositsRelatedParties","http://www.xbrl.org/2003/arcrole/summation-item","15.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WakalahDepositsRelatedParties"
"16","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_OtherBanksDeposits","http://www.xbrl.org/2003/arcrole/summation-item","16.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_OtherBanksDeposits"
"17","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_DerivativePayablesThirdParties","http://www.xbrl.org/2003/arcrole/summation-item","18.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_DerivativePayablesThirdParties"
"18","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_DerivativePayablesRelatedParties","http://www.xbrl.org/2003/arcrole/summation-item","19.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_DerivativePayablesRelatedParties"
"19","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_BorrowingsPayablesToClearingAndSettlementGuaranteeInstitution","http://www.xbrl.org/2003/arcrole/summation-item","30.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_BorrowingsPayablesToClearingAndSettlementGuaranteeInstitution"
"20","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_SecuritiesCompanyPayables","http://www.xbrl.org/2003/arcrole/summation-item","36.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_SecuritiesCompanyPayables"
"21","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_EstimatedLossesOnCommitmentsAndContingencies","http://www.xbrl.org/2003/arcrole/summation-item","40.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_EstimatedLossesOnCommitmentsAndContingencies"
"22","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_SubordinatedLoansThirdParties","http://www.xbrl.org/2003/arcrole/summation-item","46.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_SubordinatedLoansThirdParties"
"23","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_SubordinatedLoansRelatedParties","http://www.xbrl.org/2003/arcrole/summation-item","47.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_SubordinatedLoansRelatedParties"
"24","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_DividendsPayable","http://www.xbrl.org/2003/arcrole/summation-item","26.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_DividendsPayable"
"25","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_LiabilitiesToPolicyholderInUnitLinkedContracts","http://www.xbrl.org/2003/arcrole/summation-item","21.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_LiabilitiesToPolicyholderInUnitLinkedContracts"
"26","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_ObligationsDueImmediately","http://www.xbrl.org/2003/arcrole/summation-item","1.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_ObligationsDueImmediately"
"27","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_SecuritiesSoldWithRepurchaseAgreement","http://www.xbrl.org/2003/arcrole/summation-item","17.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_SecuritiesSoldWithRepurchaseAgreement"
"28","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_InsurancePayables","http://www.xbrl.org/2003/arcrole/summation-item","20.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_InsurancePayables"
"29","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_InterestPayables","http://www.xbrl.org/2003/arcrole/summation-item","22.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_InterestPayables"
"30","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_AcceptancePayables","http://www.xbrl.org/2003/arcrole/summation-item","23.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_AcceptancePayables"
"31","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_AccountsPayable","http://www.xbrl.org/2003/arcrole/summation-item","24.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_AccountsPayable"
"32","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_AdvancesAndInstallments","http://www.xbrl.org/2003/arcrole/summation-item","25.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_AdvancesAndInstallments"
"33","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_DealerPayables","http://www.xbrl.org/2003/arcrole/summation-item","27.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_DealerPayables"
"34","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_BorrowingsThirdParties","http://www.xbrl.org/2003/arcrole/summation-item","28.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_BorrowingsThirdParties"
"35","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_Liabilities","idx-cor_BorrowingsRelatedParties","http://www.xbrl.org/2003/arcrole/summation-item","29.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_Liabilities","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_BorrowingsRelatedParties"
