"","contextId","scheme","identifier","startDate","endDate","dimension1","value1","dimension2","value2","dimension3","value3","dimension4","value4"
"1","CurrentYearInstant","http://www.idx.co.id/","BBRI",NA,"2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"2","PriorEndYearInstant","http://www.idx.co.id/","BBRI",NA,"2019-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"3","CurrentYearDuration","http://www.idx.co.id/","BBRI","2020-01-01","2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"4","PriorYearDuration","http://www.idx.co.id/","BBRI","2019-01-01","2019-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"5","CurrentYearInstant_EquityAttributableToParentEntityMember","http://www.idx.co.id/","BBRI",NA,"2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"6","CurrentYearInstant_ProformaEquityMember","http://www.idx.co.id/","BBRI",NA,"2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"7","CurrentYearInstant_NonControllingInterestsMember","http://www.idx.co.id/","BBRI",NA,"2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"8","CurrentYearInstant_CommonStocksMember","http://www.idx.co.id/","BBRI",NA,"2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"9","CurrentYearInstant_PreferredStocksMember","http://www.idx.co.id/","BBRI",NA,"2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"10","CurrentYearInstant_AdditionalPaidInCapitalMember","http://www.idx.co.id/","BBRI",NA,"2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"11","CurrentYearInstant_TreasuryStocksMember","http://www.idx.co.id/","BBRI",NA,"2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"12","CurrentYearInstant_AdvancesInCapitalStockMember","http://www.idx.co.id/","BBRI",NA,"2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"13","CurrentYearInstant_StockOptionsMember","http://www.idx.co.id/","BBRI",NA,"2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"14","CurrentYearInstant_RevaluationReservesMember","http://www.idx.co.id/","BBRI",NA,"2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA
"15","CurrentYearInstant_ReserveOfExchangeDifferencesOnTranslationMember","http://www.idx.co.id/","BBRI",NA,"2020-12-31",NA,NA,NA,NA,NA,NA,NA,NA
