"","roleId","fromElementId","toElementId","arcrole","order","closed","usable","contextElement","preferredLabel","fromHref","toHref"
"1","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_9900000","idx-cor_ComponentsOfNetAssetsAxis","idx-cor_NetAssetsMember","http://xbrl.org/int/dim/arcrole/dimension-default","1.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_ComponentsOfNetAssetsAxis","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_NetAssetsMember"
"2","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_9900000","idx-cor_ComponentsOfEquityAxis","idx-cor_EquityMember","http://xbrl.org/int/dim/arcrole/dimension-default","1.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_ComponentsOfEquityAxis","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_EquityMember"
"3","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4410000","idx-cor_StatementOfChangesInEquityAbstract","idx-cor_StatementOfChangesInEquityTable","http://xbrl.org/int/dim/arcrole/all","1.0","true",NA,"scenario",NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_StatementOfChangesInEquityAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_StatementOfChangesInEquityTable"
"4","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4410000","idx-cor_StatementOfChangesInEquityTable","idx-cor_ComponentsOfEquityAxis","http://xbrl.org/int/dim/arcrole/hypercube-dimension","1.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_StatementOfChangesInEquityTable","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_ComponentsOfEquityAxis"
"5","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4410000","idx-cor_ComponentsOfEquityAxis","idx-cor_EquityMember","http://xbrl.org/int/dim/arcrole/dimension-domain","1.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_ComponentsOfEquityAxis","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_EquityMember"
"6","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4410000","idx-cor_EquityMember","idx-cor_EquityAttributableToParentEntityMember","http://xbrl.org/int/dim/arcrole/domain-member","1.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_EquityMember","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_EquityAttributableToParentEntityMember"
"7","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4410000","idx-cor_EquityAttributableToParentEntityMember","idx-cor_CommonStocksMember","http://xbrl.org/int/dim/arcrole/domain-member","1.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_EquityAttributableToParentEntityMember","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_CommonStocksMember"
"8","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4410000","idx-cor_EquityAttributableToParentEntityMember","idx-cor_PreferredStocksMember","http://xbrl.org/int/dim/arcrole/domain-member","2.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_EquityAttributableToParentEntityMember","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_PreferredStocksMember"
"9","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4410000","idx-cor_EquityAttributableToParentEntityMember","idx-cor_AdditionalPaidInCapitalMember","http://xbrl.org/int/dim/arcrole/domain-member","3.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_EquityAttributableToParentEntityMember","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_AdditionalPaidInCapitalMember"
"10","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4410000","idx-cor_EquityAttributableToParentEntityMember","idx-cor_TreasuryStocksMember","http://xbrl.org/int/dim/arcrole/domain-member","4.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_EquityAttributableToParentEntityMember","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_TreasuryStocksMember"
"11","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4410000","idx-cor_EquityAttributableToParentEntityMember","idx-cor_AdvancesInCapitalStockMember","http://xbrl.org/int/dim/arcrole/domain-member","5.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_EquityAttributableToParentEntityMember","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_AdvancesInCapitalStockMember"
