"","elementId","type","substitutionGroup","periodType","abstract","nillable","balance","ns"
"1","idx-dei_ControllingShareholderInformation","idx-dei-cm:ControllingShareholderInformationItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"2","idx-dei_ConversionRateAtReportingDateIfPresentationCurrencyIsOtherThanRupiah","idx-dei-cm:ConversionRateItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"3","idx-dei_CurrentPeriodEndDate","xbrli:dateItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"4","idx-dei_CurrentPeriodStartDate","xbrli:dateItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"5","idx-dei_CurrentYearAuditor","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"6","idx-dei_DateOfAuditorsOpinionOrResultOfReviewReport","idx-dei-cm:DateStringItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"7","idx-dei_DescriptionOfPresentationCurrency","idx-dei-cm:DescriptionOfPresentationCurrencyItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"8","idx-dei_EntityCode","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"9","idx-dei_EntityIdentificationNumber","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"10","idx-dei_EntityMainIndustry","idx-dei-cm:EntityMainIndustryItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"11","idx-dei_EntityName","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"12","idx-dei_ExplanationOfChangeInNameFromTheEndOfThePrecedingReportingPeriod","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"13","idx-dei_GeneralInformationAbstract","xbrli:stringItemType","xbrli:item","duration","true","true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"14","idx-dei_LevelOfRoundingUsedInFinancialStatements","idx-dei-cm:LevelOfRoundingUsedInFinancialStatementsItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"15","idx-dei_MattersDisclosedInEmphasisOfMAtterOrOtherMatterParagraphIfAny","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"16","idx-dei_NameOfCurrentYearAuditSigningPartner","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"17","idx-dei_NameofPriorYearAuditSigningPartner","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"18","idx-dei_NumberOfYearsServedAsAuditSigningPartner","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"19","idx-dei_PeriodOfFinancialStatementsSubmissions","idx-dei-cm:PeriodOfFinancialStatementsSubmissionsItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"20","idx-dei_PriorPeriodEndDate","xbrli:dateItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"21","idx-dei_PriorPeriodStartDate","xbrli:dateItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"22","idx-dei_PriorYearAuditor","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"23","idx-dei_PriorYearEndDate","xbrli:dateItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"24","idx-dei_ResultOfReviewEngagement","xbrli:stringItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"25","idx-dei_Sector","idx-dei-cm:SectorItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"26","idx-dei_Subsector","idx-dei-cm:SubsectorItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"27","idx-dei_TypeOfAuditorsOpinion","idx-dei-cm:TypeOfAuditorsOpinionItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"28","idx-dei_TypeOfBoardOnWhichTheEntityIsListed","idx-dei-cm:TypeOfBoardOnWhichTheEntityIsListedItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"29","idx-dei_TypeOfEntity","idx-dei-cm:TypeOfEntityItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"30","idx-dei_TypeOfListedSecurities","idx-dei-cm:TypeOfListedSecuritiesItemType","xbrli:item","instant",NA,"true",NA,"http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
