"","elementId","contextId","unitId","fact","decimals","scale","sign","factId","ns"
"1","idx-dei_ConversionRateAtReportingDateIfPresentationCurrencyIsOtherThanRupiah","CurrentYearInstant","IDR",NA,NA,NA,NA,"IX01_0002_001_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/dei"
"2","idx-cor_Cash","CurrentYearInstant","IDR","32161564000000","-6",NA,NA,"IX02_0553_001_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"3","idx-cor_Cash","PriorEndYearInstant","IDR","30219214000000","-6",NA,NA,"IX02_0553_002_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"4","idx-cor_RestrictedFunds","CurrentYearInstant","IDR",NA,NA,NA,NA,"IX02_0458_001_01_04","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"5","idx-cor_RestrictedFunds","PriorEndYearInstant","IDR",NA,NA,NA,NA,"IX02_0458_002_01_04","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"6","idx-cor_CurrentAccountsWithBankIndonesia","CurrentYearInstant","IDR","51530969000000","-6",NA,NA,"IX02_0566_001_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"7","idx-cor_CurrentAccountsWithBankIndonesia","PriorEndYearInstant","IDR","71416449000000","-6",NA,NA,"IX02_0566_002_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"8","idx-cor_CurrentAccountsWithOtherBanksThirdParties","CurrentYearInstant","IDR","9050637000000","-6",NA,NA,"IX02_0568_001_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"9","idx-cor_CurrentAccountsWithOtherBanksThirdParties","PriorEndYearInstant","IDR","10077348000000","-6",NA,NA,"IX02_0568_002_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"10","idx-cor_CurrentAccountsWithOtherBanksRelatedParties","CurrentYearInstant","IDR","103741000000","-6",NA,NA,"IX02_0567_001_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"11","idx-cor_CurrentAccountsWithOtherBanksRelatedParties","PriorEndYearInstant","IDR","160388000000","-6",NA,NA,"IX02_0567_002_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"12","idx-cor_AllowanceForImpairmentLossesForCurrentAccountsWithOtherBanks","CurrentYearInstant","IDR","93843000000","-6",NA,NA,"IX02_0529_001_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"13","idx-cor_AllowanceForImpairmentLossesForCurrentAccountsWithOtherBanks","PriorEndYearInstant","IDR",NA,NA,NA,NA,"IX02_0529_002_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"14","idx-cor_PlacementsWithBankIndonesiaAndOtherBanksThirdParties","CurrentYearInstant","IDR","65037585000000","-6",NA,NA,"IX02_0821_001_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"15","idx-cor_PlacementsWithBankIndonesiaAndOtherBanksThirdParties","PriorEndYearInstant","IDR","114785514000000","-6",NA,NA,"IX02_0821_002_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"16","idx-cor_PlacementsWithBankIndonesiaAndOtherBanksRelatedParties","CurrentYearInstant","IDR","1502100000000","-6",NA,NA,"IX02_0820_001_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"17","idx-cor_PlacementsWithBankIndonesiaAndOtherBanksRelatedParties","PriorEndYearInstant","IDR","2069213000000","-6",NA,NA,"IX02_0820_002_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"18","idx-cor_AllowanceForImpairmentLossesForPlacementsWithOtherBanks","CurrentYearInstant","IDR","18070000000","-6",NA,NA,"IX02_0541_001_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"19","idx-cor_AllowanceForImpairmentLossesForPlacementsWithOtherBanks","PriorEndYearInstant","IDR",NA,NA,NA,NA,"IX02_0541_002_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"20","idx-cor_InsuranceReceivablesThirdParties","CurrentYearInstant","IDR",NA,NA,NA,NA,"IX02_0695_001_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"21","idx-cor_InsuranceReceivablesThirdParties","PriorEndYearInstant","IDR",NA,NA,NA,NA,"IX02_0695_002_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"22","idx-cor_InsuranceReceivablesRelatedParties","CurrentYearInstant","IDR",NA,NA,NA,NA,"IX02_0694_001_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
"23","idx-cor_InsuranceReceivablesRelatedParties","PriorEndYearInstant","IDR",NA,NA,NA,NA,"IX02_0694_002_01_01","http://www.idx.co.id/xbrl/taxonomy/2014-04-30/cor"
