"","elementId","lang","labelRole","labelString","href"
"1","idx-dei_ControllingShareholderInformation","en","http://www.xbrl.org/2003/role/label","Controlling shareholder information","idx-dei-2014-04-30.xsd#idx-dei_ControllingShareholderInformation"
"2","idx-dei_ConversionRateAtReportingDateIfPresentationCurrencyIsOtherThanRupiah","en","http://www.xbrl.org/2003/role/label","Conversion rate at reporting date if presentation currency is other than rupiah","idx-dei-2014-04-30.xsd#idx-dei_ConversionRateAtReportingDateIfPresentationCurrencyIsOtherThanRupiah"
"3","idx-dei_CurrentPeriodEndDate","en","http://www.xbrl.org/2003/role/label","Current period end date","idx-dei-2014-04-30.xsd#idx-dei_CurrentPeriodEndDate"
"4","idx-dei_CurrentPeriodStartDate","en","http://www.xbrl.org/2003/role/label","Current period start date","idx-dei-2014-04-30.xsd#idx-dei_CurrentPeriodStartDate"
"5","idx-dei_CurrentYearAuditor","en","http://www.xbrl.org/2003/role/label","Current year auditor","idx-dei-2014-04-30.xsd#idx-dei_CurrentYearAuditor"
"6","idx-dei_DateOfAuditorsOpinionOrResultOfReviewReport","en","http://www.xbrl.org/2003/role/label","Date of auditor's opinion or result of review report","idx-dei-2014-04-30.xsd#idx-dei_DateOfAuditorsOpinionOrResultOfReviewReport"
"7","idx-dei_DescriptionOfPresentationCurrency","en","http://www.xbrl.org/2003/role/label","Description of presentation currency","idx-dei-2014-04-30.xsd#idx-dei_DescriptionOfPresentationCurrency"
"8","idx-dei_EntityCode","en","http://www.xbrl.org/2003/role/label","Entity code","idx-dei-2014-04-30.xsd#idx-dei_EntityCode"
"9","idx-dei_EntityIdentificationNumber","en","http://www.xbrl.org/2003/role/label","Entity identification number","idx-dei-2014-04-30.xsd#idx-dei_EntityIdentificationNumber"
"10","idx-dei_EntityMainIndustry","en","http://www.xbrl.org/2003/role/label","Entity main industry","idx-dei-2014-04-30.xsd#idx-dei_EntityMainIndustry"
"11","idx-dei_EntityName","en","http://www.xbrl.org/2003/role/label","Entity name","idx-dei-2014-04-30.xsd#idx-dei_EntityName"
"12","idx-dei_ExplanationOfChangeInNameFromTheEndOfThePrecedingReportingPeriod","en","http://www.xbrl.org/2003/role/label","Explanation of change in name from the end of the preceding reporting period","idx-dei-2014-04-30.xsd#idx-dei_ExplanationOfChangeInNameFromTheEndOfThePrecedingReportingPeriod"
"13","idx-dei_GeneralInformationAbstract","en","http://www.xbrl.org/2003/role/label","General information [abstract]","idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract"
"14","idx-dei_LevelOfRoundingUsedInFinancialStatements","en","http://www.xbrl.org/2003/role/label","Level of rounding used in financial statements","idx-dei-2014-04-30.xsd#idx-dei_LevelOfRoundingUsedInFinancialStatements"
"15","idx-dei_MattersDisclosedInEmphasisOfMAtterOrOtherMatterParagraphIfAny","en","http://www.xbrl.org/2003/role/label","Matters disclosed in emphasis-of-matter or other-matter paragraph, if any","idx-dei-2014-04-30.xsd#idx-dei_MattersDisclosedInEmphasisOfMAtterOrOtherMatterParagraphIfAny"
"16","idx-dei_NameOfCurrentYearAuditSigningPartner","en","http://www.xbrl.org/2003/role/label","Name of current year audit signing partner","idx-dei-2014-04-30.xsd#idx-dei_NameOfCurrentYearAuditSigningPartner"
"17","idx-dei_NameofPriorYearAuditSigningPartner","en","http://www.xbrl.org/2003/role/label","Name of prior year audit signing partner","idx-dei-2014-04-30.xsd#idx-dei_NameofPriorYearAuditSigningPartner"
"18","idx-dei_NumberOfYearsServedAsAuditSigningPartner","en","http://www.xbrl.org/2003/role/label","Number of years served as audit signing partner","idx-dei-2014-04-30.xsd#idx-dei_NumberOfYearsServedAsAuditSigningPartner"
"19","idx-dei_PeriodOfFinancialStatementsSubmissions","en","http://www.xbrl.org/2003/role/label","Period of financial statements submissions","idx-dei-2014-04-30.xsd#idx-dei_PeriodOfFinancialStatementsSubmissions"
"20","idx-dei_PriorPeriodEndDate","en","http://www.xbrl.org/2003/role/label","Prior period end date","idx-dei-2014-04-30.xsd#idx-dei_PriorPeriodEndDate"
"21","idx-dei_PriorPeriodStartDate","en","http://www.xbrl.org/2003/role/label","Prior period start date","idx-dei-2014-04-30.xsd#idx-dei_PriorPeriodStartDate"
"22","idx-dei_PriorYearAuditor","en","http://www.xbrl.org/2003/role/label","Prior year auditor","idx-dei-2014-04-30.xsd#idx-dei_PriorYearAuditor"
"23","idx-dei_PriorYearEndDate","en","http://www.xbrl.org/2003/role/label","Prior year end date","idx-dei-2014-04-30.xsd#idx-dei_PriorYearEndDate"
"24","idx-dei_ResultOfReviewEngagement","en","http://www.xbrl.org/2003/role/label","Result of review engagement","idx-dei-2014-04-30.xsd#idx-dei_ResultOfReviewEngagement"
"25","idx-dei_Sector","en","http://www.xbrl.org/2003/role/label","Sector","idx-dei-2014-04-30.xsd#idx-dei_Sector"
"26","idx-dei_Subsector","en","http://www.xbrl.org/2003/role/label","Subsector","idx-dei-2014-04-30.xsd#idx-dei_Subsector"
"27","idx-dei_TypeOfAuditorsOpinion","en","http://www.xbrl.org/2003/role/label","Type of auditor's opinion","idx-dei-2014-04-30.xsd#idx-dei_TypeOfAuditorsOpinion"
"28","idx-dei_TypeOfBoardOnWhichTheEntityIsListed","en","http://www.xbrl.org/2003/role/label","Type of board on which the entity is listed","idx-dei-2014-04-30.xsd#idx-dei_TypeOfBoardOnWhichTheEntityIsListed"
"29","idx-dei_TypeOfEntity","en","http://www.xbrl.org/2003/role/label","Type of entity","idx-dei-2014-04-30.xsd#idx-dei_TypeOfEntity"
"30","idx-dei_TypeOfListedSecurities","en","http://www.xbrl.org/2003/role/label","Type of listed securities","idx-dei-2014-04-30.xsd#idx-dei_TypeOfListedSecurities"
"31","idx-dei_TypeOfReportOnFinancialStatements","en","http://www.xbrl.org/2003/role/label","Type of report on financial statements","idx-dei-2014-04-30.xsd#idx-dei_TypeOfReportOnFinancialStatements"
"32","idx-dei_WhetherInComplianceWithBAPEPAMLKVIIIATwoRulesConcerningIndependenceOfAccountantProvidingAuditServicesInCapitalMarket","en","http://www.xbrl.org/2003/role/label","Whether in compliance with BAPEPAM LK VIII A two rules concerning independence of accountant providing audit services in capital market","idx-dei-2014-04-30.xsd#idx-dei_WhetherInComplianceWithBAPEPAMLKVIIIATwoRulesConcerningIndependenceOfAccountantProvidingAuditServicesInCapitalMarket"
"33","idx-dei_WhetherInComplianceWithBAPEPAMLKVIIIG11RulesConcerningResponsibilitiesOfBoardOfDirectorsOnFinancialStatements","en","http://www.xbrl.org/2003/role/label","Whether in compliance with BAPEPAM LK VIII G 11 rules concerning responsibilities of board of directors on financial statements","idx-dei-2014-04-30.xsd#idx-dei_WhetherInComplianceWithBAPEPAMLKVIIIG11RulesConcerningResponsibilitiesOfBoardOfDirectorsOnFinancialStatements"
"34","idx-dei_WhetherTheFinancialStatementsAreOfAnIndividualEntityOrAGroupOfEntities","en","http://www.xbrl.org/2003/role/label","Whether the financial statements are of an individual entity or a group of entities","idx-dei-2014-04-30.xsd#idx-dei_WhetherTheFinancialStatementsAreOfAnIndividualEntityOrAGroupOfEntities"
