"","roleId","fromElementId","toElementId","arcrole","order","closed","usable","contextElement","preferredLabel","fromHref","toHref"
"1","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_EntityName","http://www.xbrl.org/2003/arcrole/parent-child","1.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_EntityName"
"2","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_ExplanationOfChangeInNameFromTheEndOfThePrecedingReportingPeriod","http://www.xbrl.org/2003/arcrole/parent-child","2.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_ExplanationOfChangeInNameFromTheEndOfThePrecedingReportingPeriod"
"3","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_EntityCode","http://www.xbrl.org/2003/arcrole/parent-child","3.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_EntityCode"
"4","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_EntityIdentificationNumber","http://www.xbrl.org/2003/arcrole/parent-child","4.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_EntityIdentificationNumber"
"5","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_EntityMainIndustry","http://www.xbrl.org/2003/arcrole/parent-child","5.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_EntityMainIndustry"
"6","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_Sector","http://www.xbrl.org/2003/arcrole/parent-child","6.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_Sector"
"7","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_Subsector","http://www.xbrl.org/2003/arcrole/parent-child","7.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_Subsector"
"8","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_ControllingShareholderInformation","http://www.xbrl.org/2003/arcrole/parent-child","8.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_ControllingShareholderInformation"
"9","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_TypeOfEntity","http://www.xbrl.org/2003/arcrole/parent-child","9.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_TypeOfEntity"
"10","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_TypeOfListedSecurities","http://www.xbrl.org/2003/arcrole/parent-child","10.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_TypeOfListedSecurities"
"11","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_TypeOfBoardOnWhichTheEntityIsListed","http://www.xbrl.org/2003/arcrole/parent-child","11.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_TypeOfBoardOnWhichTheEntityIsListed"
"12","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_WhetherTheFinancialStatementsAreOfAnIndividualEntityOrAGroupOfEntities","http://www.xbrl.org/2003/arcrole/parent-child","12.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_WhetherTheFinancialStatementsAreOfAnIndividualEntityOrAGroupOfEntities"
"13","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_PeriodOfFinancialStatementsSubmissions","http://www.xbrl.org/2003/arcrole/parent-child","13.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_PeriodOfFinancialStatementsSubmissions"
"14","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_CurrentPeriodStartDate","http://www.xbrl.org/2003/arcrole/parent-child","14.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_CurrentPeriodStartDate"
"15","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_CurrentPeriodEndDate","http://www.xbrl.org/2003/arcrole/parent-child","15.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_CurrentPeriodEndDate"
"16","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_PriorYearEndDate","http://www.xbrl.org/2003/arcrole/parent-child","16.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_PriorYearEndDate"
"17","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_PriorPeriodStartDate","http://www.xbrl.org/2003/arcrole/parent-child","17.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_PriorPeriodStartDate"
"18","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_PriorPeriodEndDate","http://www.xbrl.org/2003/arcrole/parent-child","18.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_PriorPeriodEndDate"
"19","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_DescriptionOfPresentationCurrency","http://www.xbrl.org/2003/arcrole/parent-child","19.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_DescriptionOfPresentationCurrency"
"20","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_ConversionRateAtReportingDateIfPresentationCurrencyIsOtherThanRupiah","http://www.xbrl.org/2003/arcrole/parent-child","20.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_ConversionRateAtReportingDateIfPresentationCurrencyIsOtherThanRupiah"
"21","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_LevelOfRoundingUsedInFinancialStatements","http://www.xbrl.org/2003/arcrole/parent-child","21.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_LevelOfRoundingUsedInFinancialStatements"
"22","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_TypeOfReportOnFinancialStatements","http://www.xbrl.org/2003/arcrole/parent-child","22.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_TypeOfReportOnFinancialStatements"
"23","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_TypeOfAuditorsOpinion","http://www.xbrl.org/2003/arcrole/parent-child","23.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_TypeOfAuditorsOpinion"
"24","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_MattersDisclosedInEmphasisOfMAtterOrOtherMatterParagraphIfAny","http://www.xbrl.org/2003/arcrole/parent-child","24.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_MattersDisclosedInEmphasisOfMAtterOrOtherMatterParagraphIfAny"
"25","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_ResultOfReviewEngagement","http://www.xbrl.org/2003/arcrole/parent-child","25.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_ResultOfReviewEngagement"
"26","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_DateOfAuditorsOpinionOrResultOfReviewReport","http://www.xbrl.org/2003/arcrole/parent-child","26.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_DateOfAuditorsOpinionOrResultOfReviewReport"
"27","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_CurrentYearAuditor","http://www.xbrl.org/2003/arcrole/parent-child","27.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_CurrentYearAuditor"
"28","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_NameOfCurrentYearAuditSigningPartner","http://www.xbrl.org/2003/arcrole/parent-child","28.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_NameOfCurrentYearAuditSigningPartner"
"29","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_NumberOfYearsServedAsAuditSigningPartner","http://www.xbrl.org/2003/arcrole/parent-child","29.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_NumberOfYearsServedAsAuditSigningPartner"
"30","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_PriorYearAuditor","http://www.xbrl.org/2003/arcrole/parent-child","30.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_PriorYearAuditor"
"31","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_NameofPriorYearAuditSigningPartner","http://www.xbrl.org/2003/arcrole/parent-child","31.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_NameofPriorYearAuditSigningPartner"
"32","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_WhetherInComplianceWithBAPEPAMLKVIIIG11RulesConcerningResponsibilitiesOfBoardOfDirectorsOnFinancialStatements","http://www.xbrl.org/2003/arcrole/parent-child","32.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_WhetherInComplianceWithBAPEPAMLKVIIIG11RulesConcerningResponsibilitiesOfBoardOfDirectorsOnFinancialStatements"
"33","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_1000000","idx-dei_GeneralInformationAbstract","idx-dei_WhetherInComplianceWithBAPEPAMLKVIIIATwoRulesConcerningIndependenceOfAccountantProvidingAuditServicesInCapitalMarket","http://www.xbrl.org/2003/arcrole/parent-child","33.0",NA,NA,NA,NA,"../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_GeneralInformationAbstract","../../../dic/dei/idx-dei-2014-04-30.xsd#idx-dei_WhetherInComplianceWithBAPEPAMLKVIIIATwoRulesConcerningIndependenceOfAccountantProvidingAuditServicesInCapitalMarket"
"34","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_StatementOfFinancialPositionAbstract","idx-cor_LiabilitiesTemporarySyirkahFundsAndEquityAbstract","http://www.xbrl.org/2003/arcrole/parent-child","2.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_StatementOfFinancialPositionAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_LiabilitiesTemporarySyirkahFundsAndEquityAbstract"
"35","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_LiabilitiesTemporarySyirkahFundsAndEquityAbstract","idx-cor_LiabilitiesAbstract","http://www.xbrl.org/2003/arcrole/parent-child","1.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_LiabilitiesTemporarySyirkahFundsAndEquityAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_LiabilitiesAbstract"
"36","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_LiabilitiesAbstract","idx-cor_UndistributedProfitSharing","http://www.xbrl.org/2003/arcrole/parent-child","2.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_LiabilitiesAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_UndistributedProfitSharing"
"37","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_LiabilitiesAbstract","idx-cor_ShariaDeposits","http://www.xbrl.org/2003/arcrole/parent-child","3.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_LiabilitiesAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_ShariaDeposits"
"38","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_LiabilitiesAbstract","idx-cor_CustomersDepositsAbstract","http://www.xbrl.org/2003/arcrole/parent-child","4.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_LiabilitiesAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_CustomersDepositsAbstract"
"39","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_CustomersDepositsAbstract","idx-cor_CurrentAccountsAbstract","http://www.xbrl.org/2003/arcrole/parent-child","1.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_CustomersDepositsAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_CurrentAccountsAbstract"
"40","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_CurrentAccountsAbstract","idx-cor_CurrentAccountsThirdParties","http://www.xbrl.org/2003/arcrole/parent-child","1.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_CurrentAccountsAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_CurrentAccountsThirdParties"
"41","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_CurrentAccountsAbstract","idx-cor_CurrentAccountsRelatedParties","http://www.xbrl.org/2003/arcrole/parent-child","2.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_CurrentAccountsAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_CurrentAccountsRelatedParties"
"42","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_CustomersDepositsAbstract","idx-cor_WadiahDemandDepositsAbstract","http://www.xbrl.org/2003/arcrole/parent-child","2.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_CustomersDepositsAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WadiahDemandDepositsAbstract"
"43","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_WadiahDemandDepositsAbstract","idx-cor_WadiahDemandDepositsThirdParties","http://www.xbrl.org/2003/arcrole/parent-child","1.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WadiahDemandDepositsAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WadiahDemandDepositsThirdParties"
"44","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_WadiahDemandDepositsAbstract","idx-cor_WadiahDemandDepositsRelatedParties","http://www.xbrl.org/2003/arcrole/parent-child","2.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WadiahDemandDepositsAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WadiahDemandDepositsRelatedParties"
"45","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_CustomersDepositsAbstract","idx-cor_SavingsAbstract","http://www.xbrl.org/2003/arcrole/parent-child","3.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_CustomersDepositsAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_SavingsAbstract"
"46","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_SavingsAbstract","idx-cor_SavingsThirdParties","http://www.xbrl.org/2003/arcrole/parent-child","1.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_SavingsAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_SavingsThirdParties"
"47","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_SavingsAbstract","idx-cor_SavingsRelatedParties","http://www.xbrl.org/2003/arcrole/parent-child","2.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_SavingsAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_SavingsRelatedParties"
"48","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_CustomersDepositsAbstract","idx-cor_WadiahSavingsAbstract","http://www.xbrl.org/2003/arcrole/parent-child","4.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_CustomersDepositsAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WadiahSavingsAbstract"
"49","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_WadiahSavingsAbstract","idx-cor_WadiahSavingsThirdParties","http://www.xbrl.org/2003/arcrole/parent-child","1.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WadiahSavingsAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WadiahSavingsThirdParties"
"50","http://www.idx.co.id/role/IDX-rt_role-2014-04-30_4220000","idx-cor_WadiahSavingsAbstract","idx-cor_WadiahSavingsRelatedParties","http://www.xbrl.org/2003/arcrole/parent-child","2.0",NA,NA,NA,NA,"../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WadiahSavingsAbstract","../../../dic/fin/idx-cor-2014-04-30.xsd#idx-cor_WadiahSavingsRelatedParties"
